bio10,bio1,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
27.6031211,21.73870913,15.06957088,486.885346,94.75226622,11.51154754,61.89029938,245.2123721,42.67952276,180.9423351,67.7947219,13.82349101,50.0040941,511.4013605,35.3560922,7.479533855,27.87655835,24.85913538,18.78680183
24.81642878,24.25094162,23.43421439,3002.735643,342.3158151,167.5061034,25.79249197,959.824623,548.2369466,815.7086227,621.5560022,8.53885527,83.26598073,58.8140488,29.49823653,19.23665555,10.26158098,24.49296848,23.86091972
25.78199764,24.88138491,23.84766686,3003.088889,374.5968254,166.7550265,28.88034408,1031.330952,555.0079365,852.0466931,711.1835979,6.995852789,78.12341618,80.49214286,29.51617046,20.26248401,9.253686445,25.49435541,24.41279905
26.37302021,25.8496335,25.06808619,2212.033875,306.3733062,86.00564589,39.5581416,830.0566847,304.9516712,474.6953478,632.5600723,7.464917901,82.10152332,56.14350341,30.53929356,21.40725468,9.132038875,25.74773337,25.86842556
25.13833422,24.71607272,24.18915616,2146.447046,278.1872073,91.79047524,34.2686629,753.4261233,315.0658563,420.4446548,565.4546179,8.267584381,84.26588562,40.15121413,29.7767552,19.93916302,9.837592183,24.63858156,24.79279026
26.15992168,25.21308633,24.0863242,1502.569725,286.9889395,13.06245934,81.93119463,781.8731295,59.24853611,449.4604207,96.74018651,8.01403122,71.21900822,83.80944253,30.7424471,19.46008995,11.28235715,25.49324805,24.40377041
25.31134633,24.7712568,24.18088231,2358.74905,365.9869106,54.91245602,59.89842128,998.0292752,202.6479944,539.2748768,536.7210415,8.144618191,79.73185556,49.19886726,29.87713449,19.64712504,10.23000945,24.56886202,24.47269084
25.67931216,25.22352764,24.78031285,2676.953669,325.4335921,125.558686,30.68770759,902.4934051,422.2033559,623.0702897,821.4258285,8.192207859,87.59596967,37.09359145,30.07791294,20.72554222,9.352370721,24.90222935,25.30525375
26.43043472,26.06148829,25.67830433,3015.830598,335.9195073,164.8144096,22.95219646,937.9560082,546.2092697,739.8989703,851.1281318,8.32626335,88.75291014,31.44417489,30.89271829,21.50874257,9.383975719,25.90225847,26.09071538
26.99218001,25.93002996,24.7137086,2509.941651,392.6662088,77.68794792,52.27883706,1047.771441,266.6183708,549.8393454,500.8815695,7.964212005,72.39339183,92.7768674,31.66258419,20.56852574,11.09405845,25.7467578,25.56580756
25.35213853,22.23214694,18.14399389,1741.473167,354.0034284,13.98477631,84.92481354,947.2974345,60.02902494,612.2110454,113.422171,9.623486341,52.08710952,297.6412376,30.74662272,11.54865248,19.19797025,24.44322533,18.80214681
