from,to,weight
1,2,34.51825397
1,3,13.70714286
1,4,11.91587302
1,5,5.442460317
1,6,5.584920635
1,7,11.91626984
1,8,3.996428571
1,9,5.148809524
1,10,4.883730159
1,11,5.639285714
2,3,12.89880952
2,4,19.70595238
2,5,7.625396825
2,6,6.804365079
2,7,11.84722222
2,8,4.923412698
2,9,5.36984127
2,10,5.245238095
2,11,5.726984127
3,4,9.213095238
3,5,6.018650794
3,6,4.986507937
3,7,7.848412698
3,8,3.824603175
3,9,4.128174603
3,10,4.563095238
3,11,3.951984127
4,5,8.221031746
4,6,6.861507937
4,7,9.563095238
4,8,5.274603175
4,9,5.704761905
4,10,5.938095238
4,11,5.61031746
5,6,12.48095238
5,7,10.07857143
5,8,10.99285714
5,9,10.52857143
5,10,12.39801587
5,11,11.7952381
6,7,10.54444444
6,8,19.46150794
6,9,16.47896825
6,10,17.86547619
6,11,21.43055556
7,8,9.732539683
7,9,11.76388889
7,10,10.01150794
7,11,11.5265873
8,9,26.54325397
8,10,39.4531746
8,11,41.50992063
9,10,30.66944444
9,11,32.60515873
10,11,46.52103175
2,1,34.51825397
3,1,13.70714286
4,1,11.91587302
5,1,5.442460317
6,1,5.584920635
7,1,11.91626984
8,1,3.996428571
9,1,5.148809524
10,1,4.883730159
11,1,5.639285714
3,2,12.89880952
4,2,19.70595238
5,2,7.625396825
6,2,6.804365079
7,2,11.84722222
8,2,4.923412698
9,2,5.36984127
10,2,5.245238095
11,2,5.726984127
4,3,9.213095238
5,3,6.018650794
6,3,4.986507937
7,3,7.848412698
8,3,3.824603175
9,3,4.128174603
10,3,4.563095238
11,3,3.951984127
5,4,8.221031746
6,4,6.861507937
7,4,9.563095238
8,4,5.274603175
9,4,5.704761905
10,4,5.938095238
11,4,5.61031746
6,5,12.48095238
7,5,10.07857143
8,5,10.99285714
9,5,10.52857143
10,5,12.39801587
11,5,11.7952381
7,6,10.54444444
8,6,19.46150794
9,6,16.47896825
10,6,17.86547619
11,6,21.43055556
8,7,9.732539683
9,7,11.76388889
10,7,10.01150794
11,7,11.5265873
9,8,26.54325397
10,8,39.4531746
11,8,41.50992063
10,9,30.66944444
11,9,32.60515873
11,10,46.52103175
