,AUSTRALIA,NGUINEA,EASTMEL,MALUKU,SULAWESI,PHILLIPPINES,LSU,BORNEO,JAVA,SUMATRA,SEA
AUSTRALIA,0,0.857333902,6.711532084,2.833092775,8.213790412,17.45369652,4.08191697,13.75652357,10.56310716,17.67125419,24.06959671
NGUINEA,0.857333902,0,0.423941603,0.651208658,5.233725213,7.478810733,6.885837927,10.95384743,15.01610976,20.75497602,24.14193888
EASTMEL,6.711532084,0.423941603,0,12.15682103,20.62665457,22.00124477,19.93622384,27.68691879,31.3140426,37.55746584,39.79661331
MALUKU,2.833092775,0.651208658,12.15682103,0,0.875529992,4.222123214,0.182339635,5.989576241,10.06534587,15.36332072,19.86350348
SULAWESI,8.213790412,5.233725213,20.62665457,0.875529992,0,1.68182907,0.988017238,1.032734742,4.078638599,9.864701862,14.591747
PHILLIPPINES,17.45369652,7.478810733,22.00124477,4.222123214,1.68182907,0,13.20625848,0.452652341,12.68313585,9.418202433,8.560759014
LSU,4.08191697,6.885837927,19.93622384,0.182339635,0.988017238,13.20625848,0,4.170723212,0.225237347,9.503922613,14.75191326
BORNEO,13.75652357,10.95384743,27.68691879,5.989576241,1.032734742,0.452652341,4.170723212,0,2.285568136,0.55529421,4.181853712
JAVA,10.56310716,15.01610976,31.3140426,10.06534587,4.078638599,12.68313585,0.225237347,2.285568136,0,0.225042354,6.861174368
SUMATRA,17.67125419,20.75497602,37.55746584,15.36332072,9.864701862,9.418202433,9.503922613,0.55529421,0.225042354,0,0.1
SEA,24.06959671,24.14193888,39.79661331,19.86350348,14.591747,8.560759014,14.75191326,4.181853712,6.861174368,0.1,0
